,games_played,passing_yards,wins,avg_passing_epa
ARI,17.0,3859,8,0.6454282583426418
ATL,16.0,4283,8,-1.5769775242486308
BAL,17.0,4189,12,-1.3962462756329974
BUF,17.0,3938,13,6.38703565119282
CAR,14.0,3411,5,-1.8878262152754504
CHI,17.0,3552,5,1.7280249455425527
CIN,17.0,4918,9,-0.5908188916876059
CLE,7.0,3879,3,-8.549524947030934
DAL,8.0,4092,7,7.221267161604052
DEN,17.0,3808,10,3.1364443192897182
DET,17.0,4718,15,6.004312578776889
GB,15.0,3939,11,8.729963931384175
HOU,17.0,3952,10,1.5039607028450004
IND,11.0,3599,8,4.402573834321659
JAX,10.0,3717,4,-0.8892182948481453
KC,16.0,4046,15,5.524262944553858
LA,16.0,4096,10,7.925813830120684
LAC,17.0,3901,11,-0.5491021667130868
LV,,4117,4,-5.358360054586843
MIA,11.0,4036,8,0.22792362088391604
MIN,17.0,4379,14,-6.828883010672426
NE,13.0,3343,4,8.98703080977772
NO,10.0,3730,5,-4.392666753627628
NYG,10.0,3521,3,0.531069352938842
NYJ,17.0,4016,5,-4.091050929101955
PHI,15.0,3517,14,1.4679477352666352
PIT,11.0,3607,10,0.9246970101099917
SEA,17.0,4379,10,5.333018758393417
SF,15.0,4424,6,5.346549019251676
TB,17.0,4505,10,-2.123805302419573
TEN,12.0,3621,3,-8.727289143532792
WAS,17.0,3932,12,-0.5993549972319936
